mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	Db.I	Db	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	1/2	1/2	4/4	2	1	IV(9)	Db	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
1	1	5/8	5/8	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
1	1	3/4	3/4	4/4	2	1	V(6)	Db	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
1	1	7/8	7/8	4/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	0	0	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	4/4	2	1	IV(9)	Db	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
2	2	5/8	5/8	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	3/4	3/4	4/4	2	1	V(6)	Db	I		V(6)		V			6				M	0	0	1, 5, 4		1	1
2	2	7/8	7/8	4/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	0	0	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	1/4	1/4	4/4	2	1	I(94)	Db	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
3	3	3/8	3/8	4/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
3	3	1/2	1/2	4/4	2	1	I(97)	Db	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
3	3	5/8	5/8	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	7/8	7/8	4/4	2	1	V(6)/ii	Db	I		V(6)/ii		V			6	ii			M	0	0	3, 7, -1		3	3
4	4	0	0	4/4	2	1	V7/ii	Db	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
4	4	1/8	1/8	4/4	2	1	ii	Db	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	3/8	3/8	4/4	2	1	IVM7	Db	I		IVM7		IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
4	4	1/2	1/2	4/4	2	1	IV	Db	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	3/4	3/4	4/4	2	1	vi.V	Db	vi		V		V							M	0	1	1, 5, 2		1	1
4	4	7/8	7/8	4/4	2	1	V7	Db	vi		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
5	5	0	0	4/4	2	1	i	Db	vi		i		i							m	0	1	0, -3, 1		0	0
6	6	0	0	4/4	2	1	VI.I	Db	VI		I		I							M	0	0	0, 4, 1		0	0
6	6	3/8	3/8	4/4	2	1	iii	Db	VI		iii		iii							m	0	0	4, 1, 5		4	4
6	6	1/2	1/2	4/4	2	1	IV	Db	VI		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	5/8	5/8	4/4	2	1	V43(9)	Db	VI		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
6	6	3/4	3/4	4/4	2	1	V64(+6)	Db	VI		V64(+6)		V		64	+6				M	0	0	2, 1, 5	4	1	2
6	6	7/8	7/8	4/4	2	1	V7	Db	VI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	4/4	2	1	I	Db	VI		I		I							M	0	0	0, 4, 1		0	0
7	7	3/8	3/8	4/4	2	1	iii	Db	VI		iii		iii							m	0	0	4, 1, 5		4	4
7	7	1/2	1/2	4/4	2	1	IV	Db	VI		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	5/8	5/8	4/4	2	1	V43(9)	Db	VI		V43(9)		V		43	9				Mm7	0	0	2, -1, 1, 5	3	1	2
7	7	3/4	3/4	4/4	2	1	V64(+6)	Db	VI		V64(+6)		V		64	+6				M	0	0	2, 1, 5	4	1	2
7	7	7/8	7/8	4/4	2	1	V7	Db	VI		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	4/4	2	1	I.vi	Db	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	3/4	3/4	4/4	2	1	bVI+	Db	I		bVI+		bVI	+						+	0	0	-4, 0, 4		-4	-4
8	8	7/8	7/8	4/4	2	1	It6	Db	I		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
9	9	0	0	4/4	2	1	V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	9	1/4	1/4	4/4	2	1	V7(9)\\	Db	I		V7(9)		V		7	9			\\	Mm7	0	0	1, 5, 2, -1	3	1	1
10	10	0	0	4/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
10	10	1/4	1/4	4/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	1/2	1/2	4/4	2	1	IV(9)	Db	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
